Issue Type,Summary,Epic Name,Epic Link,Feature ID,Epic ID,Epic,Phase,Related User Flow,Related FR / Rule,Description,Scope Note,Estimation Boundary,Priority,Labels,Components,Status
Epic,Authentication & Account Integration,Authentication & Account Integration,,E1,E1,Authentication & Account Integration,Phase 1,,,,Authentication and account integration epic for PARQ Phase 1 feature estimation.,,Medium,"PARQ,Phase1,FeatureBreakdown",Authentication,Draft / Ready for Bas Review
Task,Existing PARQ User Sign-In,,Authentication & Account Integration,E1-F01,E1,Authentication & Account Integration,Phase 1,UF-001,FR-AUTH-001 to FR-AUTH-007,The system shall support existing PARQ users signing in through existing One Bangkok Application authentication patterns.,Reuse/adapt OBK IAM/SSO login; do not estimate new authentication platform.,,Medium,"PARQ,Phase1,FeatureBreakdown",Authentication,Draft / Ready for Bas Review
Task,OTP Authentication,,Authentication & Account Integration,E1-F02,E1,Authentication & Account Integration,Phase 1,UF-001,FR-AUTH-001,Existing OBK OTP behavior is reused where applicable.,Existing mechanism reuse/adaptation only.,,Medium,"PARQ,Phase1,FeatureBreakdown",Authentication,Draft / Ready for Bas Review
Task,Password Authentication,,Authentication & Account Integration,E1-F03,E1,Authentication & Account Integration,Phase 1,UF-001,FR-AUTH-001,Existing OBK password login behavior is reused where applicable.,Existing mechanism reuse/adaptation only.,,Medium,"PARQ,Phase1,FeatureBreakdown",Authentication,Draft / Ready for Bas Review
Task,Smart Redirect,,Authentication & Account Integration,E1-F04,E1,Authentication & Account Integration,Phase 1,UF-001,FR-AUTH-003,"If account is found, show: ""Found your account please log-in with your password or OTP"".",UI/message and routing behavior only.,,Medium,"PARQ,Phase1,FeatureBreakdown",Authentication,Draft / Ready for Bas Review
Task,Registration Flow Reuse & PARQ Integration,,Authentication & Account Integration,E1-F05,E1,Authentication & Account Integration,Phase 1,UF-003,FR-SIGNUP-001 to FR-SIGNUP-009,"Phone-first registration, OTP phone verification, Email entry and verification, existing Email redirect to login, consent, required information, brand-new Retail profile creation, and delayed FS check.",Reuse/adapt OBK registration; no new invitation deep-linking requirement for Phase 1.,,Medium,"PARQ,Phase1,FeatureBreakdown",Authentication,Draft / Ready for Bas Review
Task,Retail Account Matching,,Authentication & Account Integration,E1-F06,E1,Authentication & Account Integration,Phase 1,UF-002,FR-MERGE-001 to FR-MERGE-004,Match BZB/Retail identity by phone first and email second.,BZB conflict contract and wrong-merge runbook remain open dependencies.,,Medium,"PARQ,Phase1,FeatureBreakdown",Authentication,Draft / Ready for Bas Review
Task,Persona Merge,,Authentication & Account Integration,E1-F07,E1,Authentication & Account Integration,Phase 1,UF-002,FR-MERGE-003 to FR-MERGE-006,App displays acknowledgement screen for auto-merge; user cannot deny a valid merge.,Mandatory acknowledgement screen and merge/link handling; manual consolidation remains operational fallback.,,Medium,"PARQ,Phase1,FeatureBreakdown",Authentication,Draft / Ready for Bas Review
Task,Workplace Detection,,Authentication & Account Integration,E1-F08,E1,Authentication & Account Integration,Phase 1,"UF-001, UF-003, UF-005",FR-AUTH-005 to FR-AUTH-007; FR-WP-001,FS/BMS checks may detect Workplace eligibility after login or onboarding.,Detection/result refresh only; Workplace UI state is estimated under E2.,,Medium,"PARQ,Phase1,FeatureBreakdown",Authentication,Draft / Ready for Bas Review
Task,Company Offboarding / Workplace Persona Removal,,Authentication & Account Integration,E1-F09,E1,Authentication & Account Integration,Phase 1,UF-004,FR-LIFE-001 to FR-LIFE-004,"When FS/Fineday marks user inactive from company, Workplace persona disappears while Retail can remain active.",Company offboarding is separate from user account deletion.,,Medium,"PARQ,Phase1,FeatureBreakdown",Authentication,Draft / Ready for Bas Review
